,Zeitstempel,I use the following databases for my scientific illustrations:,Regarding BioIcons,Is it easy to use the current BioIcons website?,"If you know about BioIcons, have you ever submitted or thought about submitting illustrations using the webform or via PullRequest?",I use the following tools to draw scientific illustrations or to assemble icons from BioIcons in illustrations,Which proposed features do you think are most useful to you: [Extension of the icon catalog based on community requests],Which proposed features do you think are most useful to you: [Collaborative web editor],Which proposed features do you think are most useful to you: [Templating mechanism to share graphics created using BioIcons for others to reuse],Which proposed features do you think are most useful to you: [Workshops on illustration licensing and creating illustrations using BioIcons],Country,Position
12,16.07.2024 22:15:43,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Have never used it.,"No, because I did not know that I can do that.",BioRender WebEditor,Nice to have,Nice to have,Nice to have,Nice to have,Industry,PostDoc
13,12.09.2023 12:36:46,"Open ClipArt, I create my own icons when needed",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,Nice to have,Nice to have,,permanent academic staff
14,25.10.2023 12:44:39,SciDraw,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,,PhD student
15,22.12.2023 15:26:20,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,High priority,High priority,UK,PhD student
16,12.03.2024 08:52:31,BioIcons,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,,PhD student
17,11.04.2024 03:59:17,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock, Other Stocklibrary such as Vecteezy",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Unnecessary,Low priority,Unnecessary,Low priority,China,Undergraduate
18,16.04.2024 15:19:34,None,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,Low priority,Nice to have,Colombia,PhD student
19,07.05.2024 13:18:21,BioRender,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,High priority,South Africa,Masters Student
20,07.05.2024 17:57:46,Reactome,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Inkscape,Low priority,Unnecessary,Low priority,Unnecessary,,permanent academic staff
21,26.05.2024 15:20:56,BioIcons,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,,PostDoc
22,14.06.2024 08:39:32,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, Reactome, Open ClipArt, Wikimedia Commons, FreePik, Adobe Stock",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor",Unnecessary,Unnecessary,Unnecessary,Unnecessary,,permanent academic staff
23,23.07.2024 08:48:22,BioIcons,I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
24,13.10.2024 15:34:30,"BioIcons, MindTheGraph, Reactome",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Low priority,Nice to have,High priority,Nice to have,,PhD student
25,19.10.2024 18:44:31,"BioIcons, BioRender, SciDraw",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",,,,,,,
26,29.10.2024 18:03:53,"BioRender, Wikimedia Commons",I want to use it but I do not know which editor  I can use.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Low priority,Nice to have,Low priority,Mexico,permanent academic staff
27,30.09.2023 05:37:21,Open ClipArt,I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.",Keynote ,Nice to have,Unnecessary,High priority,Nice to have,,Teacher
28,15.04.2024 22:23:35,BioRender,I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",High priority,,,,USA,Professor
29,16.04.2024 22:52:27,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Low priority,Low priority,Nice to have,Netherlands,permanent academic staff
30,24.04.2024 21:05:35,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,Brazil,PhD student
31,13.05.2024 23:35:34,BioRender,I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.","Inkscape, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,,Undergraduate
32,25.06.2024 13:27:51,BioIcons,I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Nice to have,Nice to have,Low priority,Germany,MD Student
33,26.06.2024 13:09:58,"BioIcons, Reactome, FreePik",I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint, GIMP",High priority,Nice to have,High priority,Nice to have,USA,Lab Staff
34,29.10.2024 12:57:57,BioIcons,I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.",Inkscape,High priority,Low priority,Nice to have,Unnecessary,,Undergraduate
35,30.10.2024 15:41:52,"BioRender, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Have never used it.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Nice to have,Nice to have,High priority,Netherlands,PhD student
36,21.11.2023 13:16:30,"BioRender, Open ClipArt, Other Stocklibrary such as Vecteezy",Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,,High priority,Nice to have,,
37,17.04.2024 13:19:08,"BioIcons, SciDraw, Open ClipArt",Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.","Inkscape, affinity designer",High priority,Nice to have,Nice to have,Nice to have,,PostDoc
38,16.04.2024 05:14:01,BioRender,Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,High priority,High priority,Nice to have,Australia,Group Leader
39,10.11.2023 16:16:00,"BioIcons, BioRender, Reactome, Wikimedia Commons, Adobe Stock, chemdraw",Haven't used it yet but will do so in the future,Have never used it.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,USA,Professor
40,30.10.2024 10:24:28,"BioIcons, SciDraw, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",Nice to have,Low priority,Nice to have,High priority,,At present looking for roles
41,01.10.2024 18:32:11,"BioIcons, BioRender, Wikimedia Commons, Adobe Stock","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Low priority,Nice to have,USA,PostDoc
42,15.09.2023 13:21:19,"BioIcons, BioRender, SMART by Servier",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,High priority,High priority,Low priority,Israel,PhD student
43,16.09.2023 15:56:21,"BioIcons, FreePik",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Inkscape,High priority,Nice to have,High priority,Nice to have,USA,PhD student
44,26.09.2023 19:01:01,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint, Affinity Designer",High priority,Nice to have,High priority,Low priority,USA,Professor
45,04.10.2023 05:15:10,BioIcons,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Low priority,High priority,Unnecessary,,Undergraduate
46,28.10.2023 21:05:30,"BioIcons, Open ClipArt",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Nice to have,High priority,Nice to have,USA,PhD student
47,28.01.2024 16:58:58,"BioIcons, BioRender, SMART by Servier, FreePik, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, BioRender WebEditor",Nice to have,Unnecessary,Nice to have,Low priority,,PostDoc
48,03.04.2024 15:55:48,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Inkscape,High priority,Low priority,High priority,Nice to have,,Undergraduate
49,16.04.2024 22:46:40,"BioRender, MindTheGraph, Open ClipArt, Wikimedia Commons",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Microsoft PowerPoint, CorelDraw",High priority,Low priority,Low priority,Nice to have,,
50,20.04.2024 07:19:03,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,India,PhD student
51,12.05.2024 16:59:16,BioIcons,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Unnecessary,Unnecessary,High priority,,Undergraduate
52,01.06.2024 17:44:09,"BioRender, Open ClipArt, Adobe Stock",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint, Chemdraw",High priority,Nice to have,High priority,Nice to have,USA,Professor
53,07.06.2024 10:50:45,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,High priority,Nice to have,,PhD student
54,15.06.2024 05:08:16,FreePik,I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,Nice to have,USA,PhD student
55,18.09.2024 21:28:08,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Unnecessary,Low priority,Low priority,Brazil,PhD student
56,29.10.2024 15:49:28,"BioIcons, BioRender",I want to use it but the catalog is too limited.,It is hard to find the right illustrations.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,Nice to have,Portugal,PhD student
57,15.04.2024 22:55:29,"BioRender, Wikimedia Commons, FreePik, Adobe Stock",I want to use it but the catalog is too limited.,No.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor",High priority,Low priority,Low priority,Nice to have,,permanent academic staff
58,25.05.2024 21:37:35,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",No.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Canada,permanent academic staff
59,24.04.2024 21:39:47,"BioRender, Reactome, Adobe Stock",I want to use it but the catalog is too limited.,No.,"No, because I did not know that I can do that.","Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,High priority,Low priority,USA,Professor
60,01.06.2024 19:12:11,"BioIcons, BioRender, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",It is hard to find the right illustrations.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,High priority,Low priority,Norway,PhD student
61,12.12.2023 04:42:34,Other Stocklibrary such as Vecteezy,Haven't used it yet but will do so in the future,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,,High priority,Nice to have,,China,PhD student
62,16.04.2024 14:37:12,"BioIcons, BioRender",I do not use it because my university/lab has a premium subscription to Biorender or MindTheGraph.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,,PhD student
63,15.12.2023 16:08:50,"BioIcons, Open ClipArt, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Inkscape,Nice to have,Nice to have,High priority,Nice to have,UK,Data Outputs Manager
64,11.06.2024 09:35:10,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Nice to have,High priority,Low priority,Switzerland,PhD student
65,10.09.2023 21:56:56,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Low priority,High priority,Low priority,Spain,PostDoc
66,12.09.2023 19:54:56,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Microsoft PowerPoint, Google Slides",High priority,Low priority,Nice to have,Nice to have,industry,industry/biotech dept head
67,20.09.2023 15:03:55,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",,,,,,,
68,26.10.2023 17:32:46,"BioIcons, BioRender, Open ClipArt","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Nice to have,Low priority,,UK,PostDoc
69,07.11.2023 20:28:52,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator",Nice to have,Low priority,Nice to have,Low priority,USA,PostDoc
70,10.11.2023 10:01:45,"BioIcons, Reactome, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",Low priority,Nice to have,High priority,Low priority,,Industry bioinfo
71,14.11.2023 08:29:28,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Nice to have,,South Africa,PostDoc
72,21.11.2023 10:50:10,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",Nice to have,Nice to have,Nice to have,Nice to have,Japan,PostDoc
73,18.12.2023 23:01:16,"BioIcons, MindTheGraph, Reactome, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator",Low priority,Nice to have,High priority,High priority,Australia,PhD student
74,14.01.2024 19:17:34,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",BioRender WebEditor,High priority,High priority,High priority,High priority,,Undergraduate
75,19.01.2024 09:25:35,"BioIcons, BioRender, MindTheGraph, TogoTV/DBCLS, SMART by Servier, SciDraw, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",High priority,High priority,,High priority,,PhD student
76,31.01.2024 19:02:54,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Unnecessary,High priority,Nice to have,India,PhD student
77,07.02.2024 21:39:13,"BioIcons, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Affinity Designer,High priority,Unnecessary,Low priority,Nice to have,Industry,Computational Biologist (industry)
78,14.02.2024 07:41:49,SciDraw,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Inkscape,Nice to have,Nice to have,Nice to have,Nice to have,China,PhD student
79,16.04.2024 08:48:34,"BioIcons, BioRender, Open ClipArt, Wikimedia Commons","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Nice to have,UK,PostDoc
80,16.04.2024 11:06:29,BioRender,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, BioRender WebEditor",High priority,Nice to have,High priority,Nice to have,Czechia,permanent academic staff
81,08.05.2024 16:35:45,"BioIcons, BioRender","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,Nice to have,High priority,Nigeria,PhD student
82,27.05.2024 10:36:32,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Microsoft PowerPoint, ",Unnecessary,Unnecessary,Unnecessary,,,Undergraduate
83,27.05.2024 14:29:05,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Low priority,Low priority,Nice to have,France,permanent academic staff
84,10.07.2024 15:21:00,"BioIcons, BioRender, SciDraw, FreePik","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,Nice to have,,,,,PhD student
85,19.07.2024 22:00:16,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Nice to have,Low priority,Low priority,,PostDoc
86,05.08.2024 17:56:03,"BioIcons, BioRender, SciDraw","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,,,,,,
87,09.08.2024 16:47:56,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","Inkscape, BioRender WebEditor",High priority,High priority,High priority,High priority,USA,PostDoc
88,08.09.2024 07:50:24,"BioIcons, BioRender, MindTheGraph","I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",Nice to have,Nice to have,High priority,High priority,India,PhD student
89,20.09.2024 01:11:16,BioIcons,"I use it for my illustrations, and the catalog is already big enough for me.",Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,Nice to have,Low priority,Nice to have,Unnecessary,Portugal,PostDoc
90,06.10.2023 17:02:50,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, BioRender WebEditor, Microsoft PowerPoint, google slides",High priority,Nice to have,Nice to have,Low priority,Mexico,Professor
91,19.10.2023 11:38:53,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","BioRender WebEditor, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,India,non-permanent academic staff
92,11.09.2023 15:26:30,"Wikimedia Commons, Adobe Stock",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint, Affinity Designer",High priority,Nice to have,High priority,Low priority,Switzerland,PhD student
93,31.10.2023 08:18:29,"BioIcons, BioRender",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,High priority,Nice to have,,Undergraduate
94,15.12.2023 03:43:04,BioIcons,I want to use it but I do not know which editor  I can use.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,Unnecessary,Unnecessary,Unnecessary,Unnecessary,,Undergraduate
95,23.03.2024 16:09:36,Open ClipArt,I want to use it but I do not know which editor  I can use.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,Nice to have,High priority,High priority,,PhD student
96,23.09.2024 21:18:56,"BioIcons, SMART by Servier, SciDraw, FreePik",I want to use it but I do not know which editor  I can use.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,Low priority,Nice to have,Low priority,Poland,PostDoc
97,10.09.2023 16:23:21,"BioIcons, Other Stocklibrary such as Vecteezy",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Low priority,Nice to have,High priority,France,PhD student
98,10.09.2023 21:43:21,BioIcons,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,High priority,High priority,Nice to have,Germany,PhD student
99,11.09.2023 04:40:22,"BioIcons, BioRender, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,Low priority,Nice to have,Low priority,Germany,Undergraduate
100,11.09.2023 15:20:11,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,UK,PostDoc
101,12.09.2023 00:25:01,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,Low priority,Nice to have,Nice to have,Sweden,Group leader
102,12.09.2023 12:32:44,"BioIcons, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,High priority,High priority,Switzerland,PhD student
103,15.09.2023 00:02:29,"BioIcons, SMART by Servier, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",Nice to have,Unnecessary,Low priority,Low priority,USA,PostDoc
104,27.09.2023 20:03:25,"BioIcons, BioRender, SciDraw",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,High priority,High priority,High priority,High priority,India,PhD student
105,12.10.2023 00:03:50,"BioIcons, BioRender, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,Nice to have,Low priority,Low priority,Nice to have,,permanent academic staff
106,17.10.2023 00:55:13,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Low priority,USA,PostDoc
107,08.11.2023 18:59:14,"BioIcons, BioRender, MindTheGraph, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Microsoft PowerPoint,Nice to have,High priority,High priority,Low priority,India,PhD student
108,10.11.2023 13:38:53,,I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Low priority,Nice to have,Low priority,France,Professor
109,12.11.2023 18:11:41,"BioIcons, FreePik",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Inkscape,High priority,High priority,High priority,High priority,,PhD student
110,24.11.2023 11:26:42,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.",Adobe Illustrator,High priority,High priority,Low priority,Unnecessary,Netherlands,Professor
111,12.12.2023 02:55:40,"BioIcons, BioRender, Reactome, Wikimedia Commons",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Microsoft PowerPoint",High priority,Nice to have,High priority,Nice to have,Australia,PostDoc
112,15.12.2023 00:12:49,"BioRender, Open ClipArt, Wikimedia Commons, Adobe Stock",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Nice to have,Nice to have,Nice to have,USA,Professor
113,20.12.2023 19:37:02,"BioIcons, BioRender",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Inkscape, Adobe Illustrator, Microsoft PowerPoint",High priority,High priority,High priority,High priority,USA,Professor
114,08.01.2024 12:04:58,"BioIcons, BioRender, SMART by Servier",I want to use it but the catalog is too limited.,Yes.,"No, because I did not know that I can do that.","Adobe Illustrator, Microsoft PowerPoint",High priority,Unnecessary,Low priority,Low priority,UK,permanent academic staff
